crowd_size
50
100
40
650
35
hundreds
3000
50
100
40
50
hundreds
hundreds
100
200
104
100
50
500
3
20
100
500
30
2
70
hundreds
100
60
several
100
200
50
1000
hundreds
hundreds
600
30
20
250
70
40
3
350
50
50
"10,000"
100
250
55
60
several
700
hundreds
several hundred
50
3000
100
hundreds
hundreds
80
1
hundreds
80
40
hundreds
100
750
30
2000
10
hundreds
200
hundreds
hundreds
30
hundreds
hundreds
hundreds
100
several
30
hundreds
hundreds
50
several
300
hundred
thousands
100
100
100
3500
20
400
400
a few
200
30
hundreds
hundreds
30
300
30
30
20
400
500
50
80
100
300
100
60
hundreds
"1,000"
16
50
1
1000
300
20
17
a few
20
100
100
24
30
100
70
40
100
50
hundreds
1
hundreds
60
700
300
250
900
500
350
several
100
50
100
30
20
30
100
40
500
60
150
15
50
300
1
100
50
20
30
thousands
100
700
15
hundreds
50
25
15
60
30
90
100
hundred
a few
30
55
30
20
300
800
20
50
several thousand
thousands
200
30
30
hundreds
50
hundreds
thousands
hundreds
hundreds
20
hundreds
hundreds
50
100
hundred
50
20
100
22
14
90
several
15
hundreds
40
130
10
several
25
112
50
75
10
hundreds
2500
200
80
200
45
300
400
50
20
70
700
several hundred
hundreds
20
300
110
100
hundreds
50
250
50
30
hundreds
350
300
200
25
35
20
40
30
50
150
8
40
200
100
30
100
100
4
40
40
several hundred
300
100
80
200
150
25
80
50
500
30
150
1500
hundreds
100
40
200
25
20
200
"1,000"
20
15
15
250
3
100
hundreds
30
60
a few hundred
100
300
50
1
65
40
40
5
25
100
thousand
500
20
400
30
100
hundreds
50
thousands
60
35
75
hundred
hundreds
3000
40
100
25
15
20
200
40
60
hundreds
58
20
60
30
several
100
20
thousands
100
40
125
80
200
50
150
100
hundreds
hundreds
50
a few
50
several
80
130
hundreds
100
50
200
30
25
hundreds
15
"1,110"
100
60
60
200
100
25
"20,000"
100
hundreds
30
30
350
hundred
several hundred
20000
hundreds
hundreds
150
15
several
hundreds
400
hundreds
hundreds
240
hundreds
100
"1,000"
150
100
hundreds
20
100
hundreds
hundreds
30
50
110
150
275
300
several
3
160
hundreds
50
100
200
80
30
60
30
150
hundreds
200
50
2000
30
50
100
300
200
200
600
7500
hundreds
70
20
400
525
70
hundreds
60
hundreds
200
hundreds
thousands
300
100
200
thousand
20
hundreds
300
40
20
several hundred
thousands
thousands
100
hundreds
100
hundreds
hundreds
several hundred
hundreds
110
100
500
hundreds
hundreds
112
500
1
200
100
hundreds
"1,000"
hundreds
hundreds
hundreds
11
1000
200
100
hundreds
200
100
180
"1,000"
200
50
hundred
hundreds
150
200
500
50
200
100
100
30
hundreds
50
200
hundreds
60
400
70
25
